21573.050.000.00.00;STATICE SUPERTA VERMILION 050 CM        
21573.040.000.00.00;STATICE SUPERTA VERMILION 040 CM        
21572.080.000.00.00;STATICE SUPERTA YELLOW 080 CM           
21572.070.000.00.00;STATICE SUPERTA YELLOW 070 CM           
21572.060.000.00.00;STATICE SUPERTA YELLOW 060 CM           
21572.050.000.00.00;STATICE SUPERTA YELLOW 050 CM           
21572.040.000.00.00;STATICE SUPERTA YELLOW 040 CM           
21193.023.053.00.00;FICUS ELA SHIVEREANA MOONSHINE P23 3H   
20413.023.053.00.00;FICUS ELASTICA TINEKE P23 MIN 3 HT      
07604.023.053.00.00;FICUS ELASTICA RUBY P23 MIN 3 HT        
20574.221.000.00.00;DIPLADENIA PICOLI GOLD C21              
01323.012.000.00.00;ASPARGO VASSOURINHA P12                 
21545.017.000.00.00;ANTHURIUM LUXURIANS P17                 
20672.090.000.00.06;CELOSIA RABO DE GATO 090 CM SALMAO      
20672.090.000.00.01;CELOSIA RABO DE GATO 090 CM BRANCO      
20672.080.000.00.06;CELOSIA RABO DE GATO 080 CM SALMAO      
20672.080.000.00.01;CELOSIA RABO DE GATO 080 CM BRANCO      
20672.070.000.00.06;CELOSIA RABO DE GATO 070 CM SALMAO      
20672.070.000.00.01;CELOSIA RABO DE GATO 070 CM BRANCO      
20672.060.000.00.06;CELOSIA RABO DE GATO 060 CM SALMAO      
20672.060.000.00.01;CELOSIA RABO DE GATO 060 CM BRANCO      
20672.050.000.00.06;CELOSIA RABO DE GATO 050 CM SALMAO      
20672.050.000.00.01;CELOSIA RABO DE GATO 050 CM BRANCO      
21514.080.000.00.00;BOCA DE LEAO ORLEANS WHITE 080          
21514.070.000.00.00;BOCA DE LEAO ORLEANS WHITE 070          
21514.060.000.00.00;BOCA DE LEAO ORLEANS WHITE 060          
21514.050.000.00.00;BOCA DE LEAO ORLEANS WHITE 050          
06405.080.000.00.10;BOCA DE LEAO CALIMA PINK 080            
06405.070.000.00.10;BOCA DE LEAO CALIMA PINK 070            
06405.060.000.00.10;BOCA DE LEAO CALIMA PINK 060            
06405.050.000.00.10;BOCA DE LEAO CALIMA PINK 050            
05911.080.000.00.00;BOCA DE LEAO POTOMAC ROYAL 080          
05911.070.000.00.00;BOCA DE LEAO POTOMAC ROYAL 070          
05911.060.000.00.00;BOCA DE LEAO POTOMAC ROYAL 060          
05911.050.000.00.00;BOCA DE LEAO POTOMAC ROYAL 050          
05885.080.000.00.00;BOCA DE LEAO POTOMAC RED 080            
05885.070.000.00.00;BOCA DE LEAO POTOMAC RED 070            
05885.060.000.00.00;BOCA DE LEAO POTOMAC RED 060            
05885.050.000.00.00;BOCA DE LEAO POTOMAC RED 050            
05882.080.000.00.00;BOCA DE LEAO POTOMAC DARK ORANGE 080    
05882.070.000.00.00;BOCA DE LEAO POTOMAC DARK ORANGE 070    
05882.060.000.00.00;BOCA DE LEAO POTOMAC DARK ORANGE 060    
05882.050.000.00.00;BOCA DE LEAO POTOMAC DARK ORANGE 050    
05881.080.000.00.00;BOCA DE LEAO POTOMAC YELLOW 080         
05881.070.000.00.00;BOCA DE LEAO POTOMAC YELLOW 070         
05881.060.000.00.00;BOCA DE LEAO POTOMAC YELLOW 060         
05881.050.000.00.00;BOCA DE LEAO POTOMAC YELLOW 050         
00725.009.007.00.00;DENDROBIUM NOBILY P09 ROSA              
01613.012.003.50.52;PHAL P12 LARANJA 2 H MULTIFLORA         
01168.014.001.00.00;AMARYLLIS P14 BRANCO                    
20461.080.011.23.07;LIRIO ORIENTAL 080 DOBRADO 2/3 FLS ROSA 
20461.070.011.23.07;LIRIO ORIENTAL 070 DOBRADO 2/3 FLS ROSA 
20461.060.011.23.07;LIRIO ORIENTAL 060 DOBRADO 2/3 FLS ROSA 
20461.050.011.23.07;LIRIO ORIENTAL 050 DOBRADO 2/3 FLS ROSA 
20461.080.011.35.01;LIRIO ORIENTAL 080 DOBRADO 3/5 FLS BRANC
20461.070.011.23.01;LIRIO ORIENTAL 070 DOBRADO 2/3 FLS BRANC
20461.060.011.23.01;LIRIO ORIENTAL 060 DOBRADO 2/3 FLS BRANC
20461.050.011.23.01;LIRIO ORIENTAL 050 DOBRADO 2/3 FLS BRANC
